date,beds_icu_total,beds_icu_occupied_covid_19,beds_icu_no_occupied_covid_19,beds_available_icu_beds_total,vents_total,vents_all_use_covid_19,vents_non_covid_pts_on_vents,vents_all_available_vents_not_in_use
2020-02-26,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0,0,0
2020-04-01,0,0,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,0,0,0
2020-04-07,0,0,0,0,0,0,0,0
2020-04-08,2981,829,881,1271,2756,501,351,1904
2020-04-09,2947,856,872,1219,2758,476,391,1891
2020-04-10,2919,781,860,1278,2905,480,353,2072
2020-04-11,2960,726,920,1314,2872,464,315,2093
2020-04-12,2908,719,853,1336,2921,440,308,2173
2020-04-13,2920,721,848,1351,2926,437,309,2180
2020-04-14,2948,738,868,1342,2895,424,331,2140
2020-04-15,2926,696,924,1306,2961,427,297,2237
2020-04-16,2915,639,918,1358,3027,417,326,2284
2020-04-17,2837,663,825,1349,3080,359,334,2387
2020-04-18,2872,649,878,1345,3117,344,332,2441
2020-04-19,2863,670,833,1360,3104,353,342,2409
2020-04-20,3008,677,906,1425,3173,369,358,2446
2020-04-21,3060,634,1009,1417,3184,335,401,2448
2020-04-22,3234,652,1178,1404,3203,333,404,2466
2020-04-23,3272,621,1201,1450,3215,325,372,2518
2020-04-24,3258,598,1204,1456,3198,324,359,2515
2020-04-25,3312,588,1304,1420,3158,310,359,2489
2020-04-26,3307,581,1277,1449,3160,284,378,2498
2020-04-27,3271,546,1279,1446,3180,275,380,2525
2020-04-28,3063,562,1162,1339,3026,267,323,2436
2020-04-29,2983,530,1169,1284,3084,263,328,2493
2020-04-30,2946,517,1187,1242,3077,247,357,2473
2020-05-01,2956,472,1189,1295,3094,245,363,2486
2020-05-02,2961,484,1143,1334,3036,250,346,2440
2020-05-03,2852,481,1131,1240,3025,265,327,2433
2020-05-04,2709,514,1071,1124,3080,283,346,2451
2020-05-05,2748,500,1094,1154,3099,247,378,2474
2020-05-06,2736,486,1132,1118,3092,227,374,2491
2020-05-07,2719,481,1153,1085,3026,219,353,2454
2020-05-08,2699,458,1151,1090,3064,213,368,2483
2020-05-09,2675,462,1100,1113,3078,205,362,2511
2020-05-10,2647,452,1067,1128,3077,213,369,2495
2020-05-11,2725,472,1038,1215,3059,212,366,2481
2020-05-12,2808,481,1145,1182,3044,217,373,2454
2020-05-13,2818,488,1190,1140,3067,217,404,2446
2020-05-14,2825,492,1219,1114,3057,213,394,2450
2020-05-15,2781,426,1255,1100,3039,199,387,2453
2020-05-16,2725,441,1241,1043,3064,205,406,2453
2020-05-17,2674,426,1192,1056,3093,212,388,2493
2020-05-18,2614,421,1112,1081,3077,206,399,2472
2020-05-19,2594,431,1152,1011,3075,197,398,2480
2020-05-20,2629,409,1184,1036,3100,175,419,2506
2020-05-21,2591,416,1197,978,3079,173,399,2507
2020-05-22,2572,403,1206,963,3108,173,383,2552
2020-05-23,2542,396,1192,954,3092,173,397,2522
2020-05-24,2533,365,1133,1035,3102,169,396,2537
2020-05-25,2571,365,1157,1049,3111,163,393,2555
2020-05-26,2536,400,1089,1047,3069,182,373,2514
2020-05-27,2545,411,1137,997,3105,178,377,2550
2020-05-28,2567,412,1191,964,3187,161,381,2645
2020-05-29,2540,387,1157,996,3084,151,364,2569
2020-05-30,2544,372,1166,1006,3056,143,352,2561
2020-05-31,2533,366,1131,1036,3066,148,351,2567
2020-06-01,2555,358,1076,1121,3052,140,368,2544
2020-06-02,2555,355,1159,1041,3089,144,375,2570
2020-06-03,2543,372,1217,954,3076,144,389,2543
2020-06-04,2601,368,1282,951,3025,147,367,2511
2020-06-05,2638,344,1310,984,3018,133,383,2502
2020-06-06,2649,335,1325,989,2988,133,383,2472
2020-06-07,2673,346,1303,1024,2989,130,374,2485
2020-06-08,2529,307,1242,980,3002,113,424,2465
2020-06-09,2487,307,1233,947,3028,113,413,2502
2020-06-10,2540,331,1254,955,2992,118,372,2502
2020-06-11,2520,329,1228,963,3015,116,383,2516
2020-06-12,2451,316,1184,951,3020,118,392,2510
2020-06-13,2416,301,1155,960,3011,113,387,2511
2020-06-14,2405,305,1109,991,3015,123,388,2504
2020-06-15,2551,313,1212,1026,3013,121,422,2470
2020-06-16,2508,238,1313,957,2994,105,455,2434
2020-06-17,2488,236,1333,919,2993,103,440,2450
2020-06-18,2482,259,1311,912,2996,111,439,2446
2020-06-19,2455,231,1322,902,2973,113,429,2431
2020-06-20,2443,226,1289,928,2952,124,430,2398
2020-06-21,2469,283,1245,941,2960,108,443,2409
2020-06-22,2488,297,1252,939,2985,110,445,2430
2020-06-23,2510,263,1313,934,2975,89,458,2428
2020-06-24,2507,276,1333,898,2964,91,423,2450
2020-06-25,2517,281,1323,913,2964,94,394,2476
2020-06-26,2535,257,1321,957,2964,82,394,2488
2020-06-27,2513,266,1271,976,2951,86,394,2471
2020-06-28,2521,265,1239,1017,2957,85,399,2473
2020-06-29,2505,272,1221,1012,2943,97,402,2444
