date,agegrp,covid_count,covid_deaths,covid_test,covid_count_pct,covid_deaths_pct,covid_test_pct
2020-06-20,0-19,2524,2,27001,6,0.09,6.72
2020-06-20,20-29,6317,5,57760,15.02,0.21,14.38
2020-06-20,30-39,6842,16,62528,16.27,0.68,15.56
2020-06-20,40-49,7162,44,62498,17.03,1.88,15.55
2020-06-20,50-59,6758,121,67602,16.07,5.16,16.82
2020-06-20,60-69,5203,385,59725,12.37,16.41,14.86
2020-06-20,70-79,3327,576,37560,7.91,24.55,9.35
2020-06-20,80+,3896,1197,23921,9.26,51.02,5.95
2020-06-20,Unknown,32,0,3207,0.08,0,0.8
2020-06-21,0-19,2577,2,27919,6.07,0.09,6.78
2020-06-21,20-29,6402,5,59555,15.09,0.21,14.46
2020-06-21,30-39,6903,16,64222,16.27,0.68,15.59
2020-06-21,40-49,7215,44,64140,17.01,1.87,15.57
2020-06-21,50-59,6807,121,69300,16.05,5.15,16.82
2020-06-21,60-69,5238,386,61039,12.35,16.43,14.82
2020-06-21,70-79,3333,576,38212,7.86,24.51,9.28
2020-06-21,80+,3916,1200,24321,9.23,51.06,5.9
2020-06-21,Unknown,32,0,3212,0.08,0,0.78
2020-06-22,0-19,2606,2,28527,6.11,0.08,6.81
2020-06-22,20-29,6449,5,60644,15.13,0.21,14.48
2020-06-22,30-39,6930,16,65319,16.26,0.68,15.59
2020-06-22,40-49,7243,44,65162,16.99,1.86,15.55
2020-06-22,50-59,6838,121,70451,16.04,5.12,16.82
2020-06-22,60-69,5255,387,62069,12.33,16.38,14.82
2020-06-22,70-79,3351,580,38830,7.86,24.55,9.27
2020-06-22,80+,3929,1208,24701,9.22,51.12,5.9
2020-06-22,Unknown,32,0,3213,0.08,0,0.77
